timestamp,device,roll,pitch,yaw,speed
2025-07-11T12:26:59.997,Rev_4,62.39,-6.43,0.06,0.0092
2025-07-11T12:27:00.024,Rev_2,8.19,1.94,4.66,-0.0005
2025-07-11T12:27:00.026,Rev_2,8.22,1.94,4.69,-0.0005
2025-07-11T12:27:00.115,Rev_3,3.61,-16.15,0.4,0.0005
2025-07-11T12:27:00.117,Rev_4,62.39,-6.43,0.06,0.0092
2025-07-11T12:27:00.206,Rev_2,8.2,1.94,4.85,0.0022
2025-07-11T12:27:00.235,Rev_3,3.63,-16.14,0.4,0.0005
2025-07-11T12:27:00.238,Rev_4,62.39,-6.42,0.06,0.0092
2025-07-11T12:27:00.297,Rev_4,62.39,-6.42,0.06,0.0092
2025-07-11T12:27:00.324,Rev_2,8.18,1.94,5.05,0.0022
2025-07-11T12:27:00.326,Rev_2,8.17,1.94,4.97,0.0022
2025-07-11T12:27:00.416,Rev_3,3.65,-16.13,0.4,0.0005
2025-07-11T12:27:00.417,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:00.445,Rev_2,8.2,1.94,4.75,-0.0005
2025-07-11T12:27:00.536,Rev_3,3.59,-16.12,0.4,0.0007
2025-07-11T12:27:00.538,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:00.565,Rev_2,8.18,1.94,4.95,0.0022
2025-07-11T12:27:00.625,Rev_2,8.16,1.94,5.08,0.0022
2025-07-11T12:27:00.655,Rev_3,3.55,-16.12,0.4,0.0007
2025-07-11T12:27:00.657,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:00.717,Rev_4,62.4,-6.42,0.06,0.0092
2025-07-11T12:27:00.747,Rev_2,8.15,1.94,5.2,0.0022
2025-07-11T12:27:00.776,Rev_3,3.51,-16.11,0.4,-0.0042
2025-07-11T12:27:00.837,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:00.865,Rev_2,8.13,1.95,5.31,0.0022
2025-07-11T12:27:00.896,Rev_3,3.53,-16.11,0.4,-0.0044
2025-07-11T12:27:00.957,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:01.016,Rev_3,3.49,-16.11,0.4,-0.0042
2025-07-11T12:27:01.017,Rev_4,62.39,-6.41,0.05,0.0092
2025-07-11T12:27:01.045,Rev_2,8.12,1.95,5.04,0.0022
2025-07-11T12:27:01.047,Rev_2,8.11,1.95,5.05,0.0022
2025-07-11T12:27:01.136,Rev_3,3.45,-16.1,0.4,0.0007
2025-07-11T12:27:01.138,Rev_4,62.39,-6.41,0.05,0.0092
2025-07-11T12:27:01.224,Rev_2,8.15,1.95,5.3,-0.0005
2025-07-11T12:27:01.257,Rev_4,62.39,-6.41,0.05,0.0092
2025-07-11T12:27:01.286,Rev_2,8.13,1.95,5.39,0.0022
2025-07-11T12:27:01.315,Rev_3,3.48,-16.1,0.4,0.0005
2025-07-11T12:27:01.345,Rev_2,8.12,1.95,5.73,0.0022
2025-07-11T12:27:01.437,Rev_3,3.51,-16.09,0.4,0.0005
2025-07-11T12:27:01.438,Rev_4,62.39,-6.41,0.05,0.0092
2025-07-11T12:27:01.439,Rev_4,62.35,-6.39,0.06,0.0036
2025-07-11T12:27:01.466,Rev_2,8.17,1.95,5.69,-0.0005
2025-07-11T12:27:01.556,Rev_3,3.46,-16.09,0.4,0.0007
2025-07-11T12:27:01.558,Rev_4,62.35,-6.39,0.05,0.0092
2025-07-11T12:27:01.586,Rev_2,8.15,1.95,5.54,0.0022
2025-07-11T12:27:01.676,Rev_3,3.49,-16.09,0.4,0.0005
2025-07-11T12:27:01.706,Rev_2,8.14,1.95,5.73,0.0022
2025-07-11T12:27:01.739,Rev_4,62.36,-6.38,0.06,0.0092
2025-07-11T12:27:01.740,Rev_4,62.36,-6.39,0.06,0.0092
2025-07-11T12:27:01.766,Rev_2,8.13,1.95,5.91,0.0022
2025-07-11T12:27:01.796,Rev_3,3.45,-16.09,0.4,-0.0042
2025-07-11T12:27:01.858,Rev_4,62.36,-6.39,0.05,0.0092
2025-07-11T12:27:01.887,Rev_2,8.12,1.95,6.01,0.0022
2025-07-11T12:27:01.945,Rev_2,8.16,1.95,6.03,-0.0005
2025-07-11T12:27:01.976,Rev_3,3.48,-16.09,0.39,-0.0044
2025-07-11T12:27:01.977,Rev_4,62.37,-6.39,0.05,0.0092
2025-07-11T12:27:02.066,Rev_2,8.19,1.95,6.12,-0.0005
2025-07-11T12:27:02.095,Rev_3,3.45,-16.09,0.4,0.0007
2025-07-11T12:27:02.097,Rev_4,62.37,-6.39,0.06,0.0092
2025-07-11T12:27:02.157,Rev_4,62.36,-6.41,0.05,0.0092
2025-07-11T12:27:02.186,Rev_2,8.17,1.94,5.64,0.0022
2025-07-11T12:27:02.245,Rev_2,8.16,1.94,5.76,0.0022
2025-07-11T12:27:02.278,Rev_4,62.29,-6.41,0.05,0.0132
2025-07-11T12:27:02.365,Rev_2,8.15,1.94,5.87,0.0022
2025-07-11T12:27:02.395,Rev_3,3.48,-16.08,0.4,0.0005
2025-07-11T12:27:02.397,Rev_4,62.25,-6.41,0.05,0.0084
2025-07-11T12:27:02.518,Rev_4,62.27,-6.4,0.05,0.0045
2025-07-11T12:27:02.547,Rev_2,8.18,1.94,5.65,-0.0005
2025-07-11T12:27:02.548,Rev_2,8.21,1.93,5.58,-0.0005
2025-07-11T12:27:02.577,Rev_3,3.45,-16.08,0.4,0.0007
2025-07-11T12:27:02.578,Rev_4,62.3,-6.39,0.05,0.0045
2025-07-11T12:27:02.666,Rev_2,8.24,1.93,5.46,-0.0005
2025-07-11T12:27:02.695,Rev_3,3.42,-16.08,0.4,0.0007
2025-07-11T12:27:02.757,Rev_4,62.31,-6.38,0.05,0.0045
2025-07-11T12:27:02.786,Rev_2,8.26,1.93,5.25,-0.0005
2025-07-11T12:27:02.816,Rev_3,3.46,-16.08,0.4,0.0005
2025-07-11T12:27:02.818,Rev_4,62.32,-6.38,0.05,0.0045
2025-07-11T12:27:02.845,Rev_2,8.24,1.93,5.21,0.0022
2025-07-11T12:27:02.878,Rev_4,62.26,-6.39,0.05,0.0084
2025-07-11T12:27:02.936,Rev_3,3.49,-16.08,0.4,0.0005
2025-07-11T12:27:02.966,Rev_2,8.21,1.93,5.0,0.0022
2025-07-11T12:27:02.999,Rev_4,62.27,-6.39,0.05,0.0092
2025-07-11T12:27:03.056,Rev_3,3.51,-16.07,0.4,0.0005
2025-07-11T12:27:03.085,Rev_2,8.19,1.93,4.92,0.0022
2025-07-11T12:27:03.117,Rev_4,62.28,-6.4,0.05,0.0092
2025-07-11T12:27:03.175,Rev_3,3.47,-16.07,0.4,0.0007
2025-07-11T12:27:03.206,Rev_2,8.22,1.93,4.68,-0.0005
2025-07-11T12:27:03.238,Rev_4,62.29,-6.39,0.05,0.0092
2025-07-11T12:27:03.266,Rev_2,8.25,1.93,4.89,-0.0005
2025-07-11T12:27:03.296,Rev_3,3.43,-16.07,0.4,0.0007
2025-07-11T12:27:03.298,Rev_4,62.31,-6.39,0.05,0.0092
2025-07-11T12:27:03.385,Rev_2,8.27,1.93,4.87,-0.0005
2025-07-11T12:27:03.416,Rev_3,3.46,-16.07,0.4,0.0005
2025-07-11T12:27:03.417,Rev_4,62.31,-6.39,0.05,0.0092
2025-07-11T12:27:03.505,Rev_2,8.29,1.92,5.05,-0.0005
2025-07-11T12:27:03.538,Rev_4,62.3,-6.41,0.05,0.0092
2025-07-11T12:27:03.566,Rev_2,8.26,1.93,5.08,0.0022
2025-07-11T12:27:03.598,Rev_4,62.24,-6.42,0.05,0.0084
2025-07-11T12:27:03.655,Rev_3,3.49,-16.07,0.4,0.0005
2025-07-11T12:27:03.686,Rev_2,8.24,1.93,4.93,0.0022
2025-07-11T12:27:03.718,Rev_4,62.25,-6.43,0.05,0.0092
2025-07-11T12:27:03.806,Rev_2,8.26,1.93,5.06,-0.0005
2025-07-11T12:27:03.837,Rev_4,62.26,-6.43,0.05,0.0092
2025-07-11T12:27:03.865,Rev_2,8.23,1.93,5.31,0.0022
2025-07-11T12:27:03.896,Rev_3,3.46,-16.13,0.4,0.0008
2025-07-11T12:27:03.958,Rev_4,62.23,-6.42,0.05,0.0036
2025-07-11T12:27:03.988,Rev_2,8.26,1.93,5.47,-0.0005
2025-07-11T12:27:04.017,Rev_3,3.43,-16.18,0.4,-0.0041
2025-07-11T12:27:04.019,Rev_4,62.25,-6.41,0.06,0.0092
2025-07-11T12:27:04.106,Rev_2,8.23,1.93,5.21,0.0022
2025-07-11T12:27:04.136,Rev_3,3.4,-16.18,0.4,-0.0042
2025-07-11T12:27:04.138,Rev_4,62.26,-6.42,0.05,0.0092
2025-07-11T12:27:04.166,Rev_2,8.26,1.93,5.1,-0.0005
2025-07-11T12:27:04.256,Rev_3,3.44,-16.16,0.4,0.0005
2025-07-11T12:27:04.257,Rev_4,62.27,-6.41,0.06,0.0092
2025-07-11T12:27:04.286,Rev_2,8.23,1.93,4.82,0.0022
2025-07-11T12:27:04.318,Rev_4,62.28,-6.41,0.06,0.0092
2025-07-11T12:27:04.375,Rev_3,3.4,-16.15,0.4,-0.0042
2025-07-11T12:27:04.406,Rev_2,8.26,1.93,5.08,-0.0005
2025-07-11T12:27:04.439,Rev_4,62.29,-6.41,0.06,0.0092
2025-07-11T12:27:04.466,Rev_2,8.28,1.93,4.94,-0.0005
2025-07-11T12:27:04.496,Rev_3,3.38,-16.14,0.4,0.0007
2025-07-11T12:27:04.558,Rev_4,62.3,-6.42,0.06,0.0092
2025-07-11T12:27:04.586,Rev_2,8.3,1.93,5.19,-0.0005
2025-07-11T12:27:04.616,Rev_3,3.35,-16.14,0.4,-0.0042
2025-07-11T12:27:04.677,Rev_4,62.3,-6.42,0.06,0.0092
2025-07-11T12:27:04.705,Rev_2,8.28,1.93,5.35,0.0022
2025-07-11T12:27:04.736,Rev_3,3.39,-16.13,0.4,0.0005
2025-07-11T12:27:04.738,Rev_4,62.24,-6.43,0.05,0.0084
2025-07-11T12:27:04.765,Rev_2,8.3,1.93,5.56,-0.0005
2025-07-11T12:27:04.856,Rev_3,3.35,-16.12,0.4,-0.0042
2025-07-11T12:27:04.857,Rev_4,62.25,-6.44,0.05,0.0092
2025-07-11T12:27:04.886,Rev_2,8.27,1.94,5.44,0.0022
2025-07-11T12:27:04.976,Rev_3,3.33,-16.11,0.4,0.0007
2025-07-11T12:27:04.977,Rev_4,62.27,-6.42,0.06,0.0092
2025-07-11T12:27:05.005,Rev_2,8.29,1.93,5.51,-0.0005
2025-07-11T12:27:05.096,Rev_3,3.38,-16.11,0.4,-0.0044
2025-07-11T12:27:05.097,Rev_4,62.3,-6.41,0.06,0.0045
2025-07-11T12:27:05.126,Rev_2,8.31,1.93,5.71,-0.0005
2025-07-11T12:27:05.157,Rev_4,62.26,-6.42,0.06,0.0084
2025-07-11T12:27:05.185,Rev_2,8.33,1.93,5.64,-0.0005
2025-07-11T12:27:05.216,Rev_3,3.36,-16.1,0.4,0.0007
2025-07-11T12:27:05.278,Rev_4,62.22,-6.37,0.05,0.0092
2025-07-11T12:27:05.307,Rev_2,8.3,1.93,5.62,0.0022
2025-07-11T12:27:05.395,Rev_3,3.39,-16.1,0.4,0.0005
2025-07-11T12:27:05.397,Rev_4,62.18,-6.39,0.05,0.0084
2025-07-11T12:27:05.426,Rev_2,8.32,1.93,6.0,-0.0005
2025-07-11T12:27:05.457,Rev_4,62.21,-6.4,0.05,0.0092
2025-07-11T12:27:05.485,Rev_2,8.34,1.92,5.97,-0.0005
2025-07-11T12:27:05.516,Rev_3,3.43,-16.15,0.4,0.0006
2025-07-11T12:27:05.577,Rev_4,62.22,-6.4,0.05,0.0092
2025-07-11T12:27:05.606,Rev_2,8.31,1.92,6.06,0.0022
2025-07-11T12:27:05.635,Rev_3,3.4,-16.15,0.4,-0.0042
2025-07-11T12:27:05.697,Rev_4,62.23,-6.41,0.04,0.0092
2025-07-11T12:27:05.756,Rev_3,3.43,-16.14,0.4,-0.0044
2025-07-11T12:27:05.785,Rev_2,8.28,1.93,6.33,0.0022
2025-07-11T12:27:05.788,Rev_2,8.25,1.93,6.38,0.0022
2025-07-11T12:27:05.819,Rev_4,62.25,-6.41,0.04,0.0092
2025-07-11T12:27:05.878,Rev_4,62.26,-6.42,0.04,0.0092
2025-07-11T12:27:05.905,Rev_2,8.28,1.93,6.1,-0.0005
2025-07-11T12:27:05.935,Rev_3,3.46,-16.13,0.4,-0.0044
2025-07-11T12:27:05.997,Rev_4,62.27,-6.42,0.04,0.0092
2025-07-11T12:27:06.026,Rev_2,8.3,1.93,6.11,-0.0005
2025-07-11T12:27:06.056,Rev_3,3.43,-16.12,0.4,0.0007
2025-07-11T12:27:06.086,Rev_2,8.32,1.93,5.99,-0.0005
2025-07-11T12:27:06.176,Rev_3,3.4,-16.18,0.4,0.0008
2025-07-11T12:27:06.177,Rev_4,62.28,-6.42,0.04,0.0092
2025-07-11T12:27:06.206,Rev_2,8.29,1.93,5.75,0.0022
2025-07-11T12:27:06.237,Rev_4,62.3,-6.42,0.04,0.0092
2025-07-11T12:27:06.296,Rev_3,3.44,-16.23,0.4,0.0006
2025-07-11T12:27:06.298,Rev_4,62.31,-6.42,0.04,0.0092
2025-07-11T12:27:06.325,Rev_2,8.27,1.93,5.54,0.0022
2025-07-11T12:27:06.387,Rev_2,8.24,1.94,5.48,0.0022
2025-07-11T12:27:06.415,Rev_3,3.39,-16.29,0.4,-0.0041
2025-07-11T12:27:06.417,Rev_4,62.32,-6.42,0.04,0.0092
2025-07-11T12:27:06.505,Rev_2,8.23,1.94,5.19,0.0022
2025-07-11T12:27:06.536,Rev_3,3.43,-16.27,0.4,0.0005
2025-07-11T12:27:06.538,Rev_4,62.27,-6.42,0.04,0.0084
2025-07-11T12:27:06.597,Rev_4,62.27,-6.36,0.05,0.0084
2025-07-11T12:27:06.625,Rev_2,8.22,1.94,5.11,-0.0046
2025-07-11T12:27:06.656,Rev_3,3.46,-16.25,0.4,-0.0044
2025-07-11T12:27:06.687,Rev_2,8.2,1.94,5.29,0.0022
2025-07-11T12:27:06.718,Rev_4,62.28,-6.39,0.04,0.014
2025-07-11T12:27:06.776,Rev_3,3.49,-16.3,0.4,0.0006
2025-07-11T12:27:06.805,Rev_2,8.19,1.95,5.07,0.0022
2025-07-11T12:27:06.838,Rev_4,62.31,-6.38,0.05,0.0092
2025-07-11T12:27:06.896,Rev_3,3.4,-16.34,0.4,0.0109
2025-07-11T12:27:06.927,Rev_2,8.17,1.95,5.06,0.0022
2025-07-11T12:27:06.958,Rev_4,62.32,-6.39,0.05,0.0092
2025-07-11T12:27:06.987,Rev_2,8.16,1.95,4.96,0.0022
2025-07-11T12:27:07.016,Rev_3,3.43,-16.37,0.4,-0.0043
2025-07-11T12:27:07.017,Rev_4,62.33,-6.38,0.05,0.0092
2025-07-11T12:27:07.106,Rev_2,8.15,1.95,5.15,0.0022
2025-07-11T12:27:07.137,Rev_3,3.4,-16.41,0.4,0.0008
2025-07-11T12:27:07.138,Rev_4,62.34,-6.38,0.05,0.0092
2025-07-11T12:27:07.226,Rev_2,8.18,1.95,4.99,-0.0005
2025-07-11T12:27:07.256,Rev_3,3.38,-16.38,0.4,0.0007
2025-07-11T12:27:07.257,Rev_4,62.35,-6.38,0.05,0.0092
2025-07-11T12:27:07.318,Rev_4,62.36,-6.39,0.05,0.0092
2025-07-11T12:27:07.346,Rev_2,8.16,1.95,4.81,0.0022
2025-07-11T12:27:07.375,Rev_3,3.36,-16.35,0.4,0.0007
2025-07-11T12:27:07.406,Rev_2,8.15,1.95,5.07,0.0022
2025-07-11T12:27:07.439,Rev_4,62.37,-6.39,0.05,0.0092
2025-07-11T12:27:07.496,Rev_3,3.34,-16.32,0.4,0.0007
2025-07-11T12:27:07.525,Rev_2,8.14,1.95,5.18,0.0022
2025-07-11T12:27:07.557,Rev_4,62.37,-6.38,0.05,0.0092
2025-07-11T12:27:07.616,Rev_3,3.32,-16.3,0.4,0.0007
2025-07-11T12:27:07.646,Rev_2,8.13,1.95,4.7,0.0022
2025-07-11T12:27:07.677,Rev_4,62.38,-6.39,0.05,0.0092
2025-07-11T12:27:07.706,Rev_2,8.11,1.95,4.42,0.0022
2025-07-11T12:27:07.736,Rev_3,3.37,-16.34,0.4,0.0006
2025-07-11T12:27:07.797,Rev_4,62.38,-6.39,0.05,0.0092
2025-07-11T12:27:07.826,Rev_2,8.11,1.95,4.39,0.0022
2025-07-11T12:27:07.856,Rev_3,3.4,-16.25,0.4,-0.0094
2025-07-11T12:27:07.857,Rev_4,62.39,-6.39,0.05,0.0092
2025-07-11T12:27:07.945,Rev_2,8.15,1.95,4.26,-0.0005
2025-07-11T12:27:07.977,Rev_4,62.39,-6.39,0.05,0.0092
2025-07-11T12:27:08.006,Rev_2,8.13,1.95,4.25,0.0022
2025-07-11T12:27:08.036,Rev_3,3.34,-16.29,0.4,-0.0041
2025-07-11T12:27:08.038,Rev_4,62.39,-6.39,0.05,0.0092
2025-07-11T12:27:08.126,Rev_2,8.12,1.95,4.26,0.0022
2025-07-11T12:27:08.156,Rev_3,3.31,-16.27,0.4,0.0007
2025-07-11T12:27:08.217,Rev_4,62.39,-6.4,0.05,0.0092
2025-07-11T12:27:08.246,Rev_2,8.11,1.95,4.25,0.0022
2025-07-11T12:27:08.275,Rev_3,3.35,-16.31,0.4,0.0006
2025-07-11T12:27:08.277,Rev_4,62.39,-6.4,0.05,0.0092
2025-07-11T12:27:08.366,Rev_2,8.1,1.95,4.38,0.0022
2025-07-11T12:27:08.396,Rev_3,3.39,-16.28,0.4,0.0005
2025-07-11T12:27:08.397,Rev_4,62.4,-6.4,0.05,0.0092
2025-07-11T12:27:08.425,Rev_2,8.09,1.96,4.61,0.0022
2025-07-11T12:27:08.458,Rev_4,62.4,-6.4,0.05,0.0092
2025-07-11T12:27:08.546,Rev_2,8.13,1.95,4.43,-0.0005
2025-07-11T12:27:08.575,Rev_3,3.43,-16.26,0.4,0.0005
2025-07-11T12:27:08.577,Rev_4,62.4,-6.4,0.06,0.0092
2025-07-11T12:27:08.606,Rev_2,8.12,1.95,4.35,0.0022
2025-07-11T12:27:08.696,Rev_3,3.46,-16.24,0.4,0.0005
2025-07-11T12:27:08.697,Rev_4,62.4,-6.4,0.06,0.0092
2025-07-11T12:27:08.725,Rev_2,8.16,1.95,4.41,-0.0005
2025-07-11T12:27:08.757,Rev_4,62.39,-6.41,0.06,0.0092
2025-07-11T12:27:08.815,Rev_3,3.42,-16.22,0.4,-0.0042
2025-07-11T12:27:08.845,Rev_2,8.15,1.95,4.23,0.0022
2025-07-11T12:27:08.879,Rev_4,62.4,-6.41,0.06,0.0092
2025-07-11T12:27:08.935,Rev_3,3.45,-16.21,0.4,0.0005
2025-07-11T12:27:08.966,Rev_2,8.14,1.95,4.43,0.0022
2025-07-11T12:27:08.998,Rev_4,62.4,-6.41,0.06,0.0092
