time,Roll,Pitch,Yaw,TimeSec,dRoll,dPitch,dYaw,dTime,Speed,Running
17:46:14.074,-83.59,4.47,-2.0,63974.074,-20.17,-0.7700000000000005,0.0,0.12000000000261934,168.20576849299908,False
17:46:14.159,-85.35,6.25,-1.0,63974.159,-1.759999999999991,1.7800000000000002,1.0,0.08499999999912689,31.71237519494693,False
17:46:14.254,-81.63,5.6,-2.0,63974.254,3.719999999999999,-0.6500000000000004,-1.0,0.09500000000116415,41.12126516429205,False
17:46:14.369,-79.31,5.43,-1.0,63974.369,2.319999999999993,-0.16999999999999993,1.0,0.11499999999796273,22.017865233286415,False
17:46:14.466,-82.21,4.19,-2.0,63974.466,-2.8999999999999915,-1.2399999999999993,-1.0,0.0970000000015716,34.1104717824466,False
17:46:14.584,-83.34,4.97,-1.0,63974.584,-1.1300000000000097,0.7799999999999994,1.0,0.11800000000221189,14.395060038476279,False
17:46:14.675,-82.07,4.84,-2.0,63974.675,1.2700000000000102,-0.1299999999999999,-1.0,0.09100000000034925,17.820503408819054,False
17:46:14.759,-82.57,5.5,-2.0,63974.759,-0.5,0.6600000000000001,0.0,0.08399999999528518,9.857257878879206,False
17:46:14.851,-86.78,2.39,-1.0,63974.851,-4.210000000000008,-3.11,1.0,0.09200000000419095,57.92183148883829,False
17:46:14.941,-78.84,4.08,-2.0,63974.941,7.939999999999998,1.69,-1.0,0.08999999999650754,90.88026310956201,False
17:46:15.029,-81.02,4.86,-2.0,63975.029,-2.1799999999999926,0.7800000000000002,0.0,0.08800000000337604,26.310683496682163,False
17:46:15.149,-86.66,4.24,-1.0,63975.149,-5.640000000000001,-0.6200000000000001,1.0,0.11999999999534339,48.01186196210049,False
17:46:15.243,-80.39,5.43,-2.0,63975.243,6.269999999999996,1.1899999999999995,-1.0,0.0940000000045984,68.72126338467407,False
17:46:15.364,-81.68,4.43,-2.0,63975.364,-1.2900000000000063,-1.0,0.0,0.12099999999918509,13.489314832350106,False
17:46:15.450,-90.86,4.9,-1.0,63975.45,-9.179999999999993,0.47000000000000064,1.0,0.08599999999569263,107.51463608501756,False
17:46:15.575,-80.66,5.95,-1.0,63975.575,10.200000000000003,1.0499999999999998,0.0,0.125,82.03121357142051,False
17:46:15.659,-76.97,5.59,-2.0,63975.659,3.6899999999999977,-0.3600000000000003,-1.0,0.08400000000256114,45.714440722549696,False
17:46:15.750,-79.9,5.87,-2.0,63975.75,-2.930000000000007,0.28000000000000025,0.0,0.09100000000034925,32.344488278253415,False
17:46:15.845,-80.66,5.47,-2.0,63975.845,-0.7599999999999909,-0.40000000000000036,0.0,0.09500000000116415,9.040383390871824,False
17:46:15.929,-78.31,4.51,-2.0,63975.929,2.3499999999999943,-0.96,0.0,0.08399999999528518,30.220514200796924,False
17:46:16.019,-82.64,5.08,-2.0,63976.019,-4.329999999999998,0.5700000000000003,0.0,0.0900000000037835,48.526179771941685,False
17:46:16.139,-69.77,3.8,-2.0,63976.139,12.870000000000005,-1.2800000000000002,0.0,0.12000000000261934,107.7791272801495,False
17:46:16.739,-66.1,4.41,-8.0,63976.739,3.6700000000000017,0.6100000000000003,-6.0,0.5999999999985448,11.766359769397408,False
17:46:17.224,-75.48,16.39,1.0,63977.224,-9.38000000000001,11.98,9.0,0.4850000000005821,36.44908307963533,False
17:46:17.309,-135.71,9.17,1.0,63977.309,-60.230000000000004,-7.220000000000001,0.0,0.08499999999912689,713.6611875868708,False
17:46:17.405,-143.58,1.82,1.0,63977.405,-7.8700000000000045,-7.35,0.0,0.0959999999977299,112.17129835303766,False
17:46:17.519,-144.75,6.71,7.0,63977.519,-1.1699999999999875,4.89,6.0,0.11400000000139698,68.66858059624698,False
17:46:17.699,-140.67,5.99,3.0,63977.699,4.0800000000000125,-0.7199999999999998,-4.0,0.18000000000029104,31.99382656495309,False
17:46:17.819,-132.8,3.66,2.0,63977.819,7.869999999999976,-2.33,-1.0,0.12000000000261934,68.90301154371058,False
17:46:18.695,-95.72,9.43,-1.0,63978.695,37.08000000000001,5.77,-3.0,0.8759999999965657,42.974855278978325,False
17:46:18.905,-97.7,9.42,-9.0,63978.905,-1.980000000000004,-0.009999999999999787,-8.0,0.20999999999912689,39.24471164759727,False
17:46:18.989,-96.73,9.44,-1.0,63978.989,0.9699999999999989,0.019999999999999574,8.0,0.08400000000256114,95.93591078960266,False
17:46:19.169,-99.31,9.16,-7.0,63979.169,-2.5799999999999983,-0.27999999999999936,-6.0,0.18000000000029104,36.317699660602266,False
17:46:19.260,-98.93,9.69,-1.0,63979.26,0.37999999999999545,0.5299999999999994,6.0,0.09100000000034925,66.32239125772156,False
17:46:19.378,-92.21,9.85,-5.0,63979.378,6.720000000000013,0.16000000000000014,-4.0,0.11799999999493593,66.28830677751782,False
17:46:19.889,-127.67,3.71,3.0,63979.889,-35.46000000000001,-6.14,8.0,0.511000000005879,72.14505943705494,False
17:46:20.159,-144.37,2.52,5.0,63980.159,-16.700000000000003,-1.19,2.0,0.2699999999967986,62.44955165691823,False
17:46:20.669,-136.52,1.1,9.0,63980.669,7.849999999999994,-1.42,4.0,0.5100000000020373,17.498162698011715,False
17:46:20.791,-98.6,14.95,9.0,63980.791,37.920000000000016,13.85,0.0,0.12199999999575084,330.9028575930265,False
17:46:20.879,-109.69,2.97,3.0,63980.879,-11.090000000000003,-11.979999999999999,-6.0,0.08800000000337604,197.64513052683503,False
17:46:21.335,-133.49,0.39,2.0,63981.335,-23.80000000000001,-2.58,-1.0,0.455999999998312,52.5445369433735,False
17:46:21.449,-167.15,3.51,1.0,63981.449,-33.66,3.1199999999999997,-1.0,0.11400000000139698,296.6585741750549,False
17:46:21.899,-163.3,2.94,2.0,63981.899,3.8499999999999943,-0.5699999999999998,1.0,0.4499999999970896,8.929739465102633,False
17:46:21.930,-153.33,7.3,1.0,63981.93,9.969999999999999,4.359999999999999,-1.0,0.031000000002677552,352.50035974531255,False
17:46:22.023,-109.52,0.82,2.0,63982.023,43.81000000000002,-6.4799999999999995,1.0,0.0930000000007567,476.3218155390162,False
17:46:22.139,26.62,11.24,28.0,63982.139,136.14,10.42,26.0,0.11600000000180444,1198.2037933983488,False
17:46:22.233,-167.28,0.74,4.0,63982.233,-193.9,-10.5,-24.0,0.09399999999732245,2081.506336426926,False
17:46:22.709,51.79,-13.49,1.0,63982.709,219.07,-14.23,-3.0,0.4760000000023865,461.24406633308155,False
17:46:23.008,19.74,-43.43,1.0,63983.008,-32.05,-29.939999999999998,0.0,0.2989999999990687,146.68539831341707,False
17:46:23.130,-18.46,3.19,47.0,63983.13,-38.2,46.62,46.0,0.12199999999575084,621.4749774269982,False
17:46:23.818,70.35,3.4,21.0,63983.818,88.81,0.20999999999999996,-26.0,0.6880000000019209,134.5027401371992,False
17:46:23.909,32.53,-23.62,2.0,63983.909,-37.81999999999999,-27.02,-19.0,0.09100000000034925,551.8007757527344,False
17:46:24.598,40.51,-21.41,7.0,63984.598,7.979999999999997,2.210000000000001,5.0,0.6889999999984866,14.039004997875116,False
17:46:24.693,45.03,-25.24,1.0,63984.693,4.520000000000003,-3.8299999999999983,-6.0,0.09500000000116415,88.75831668621458,False
17:46:25.198,19.78,-4.28,-8.0,63985.198,-25.25,20.959999999999997,-9.0,0.5049999999973807,67.38157638146684,False
17:46:25.380,-6.41,18.7,5.0,63985.38,-26.19,22.98,13.0,0.1820000000006985,204.33330168190463,False
17:46:25.498,31.8,-15.32,2.0,63985.498,38.21,-34.019999999999996,-3.0,0.11800000000221189,434.30566318064496,False
17:46:26.159,102.34,14.79,2.0,63986.159,70.54,30.11,0.0,0.6610000000000582,116.03249879836326,False
17:46:26.284,30.2,-21.46,7.0,63986.284,-72.14,-36.25,5.0,0.125,647.1224724887863,False
17:46:27.059,24.47,-23.83,3.0,63987.059,-5.73,-2.3699999999999974,-4.0,0.7750000000014552,9.521304224252734,False
17:46:27.150,-150.39,3.66,2.0,63987.15,-174.85999999999999,27.49,-1.0,0.09100000000034925,1945.1704100501593,False
17:46:27.756,60.74,5.56,-13.0,63987.756,211.13,1.8999999999999995,-15.0,0.6059999999997672,349.2915906350384,False
17:46:29.310,-93.11,12.0,3.0,63989.31,-153.85,6.44,16.0,1.5539999999964493,99.62274548457039,False
17:46:29.433,27.32,-32.45,1.0,63989.433,120.43,-44.45,-2.0,0.12299999999959255,1043.7956597653174,False
17:46:29.521,-174.88,6.18,1.0,63989.521,-202.2,38.63,0.0,0.08800000000337604,2339.2844344768996,False
17:46:29.822,5.61,-20.6,-2.0,63989.822,180.49,-26.78,-3.0,0.30099999999947613,606.280966742909,False
17:46:30.332,-3.29,7.25,18.0,63990.332,-8.9,27.85,20.0,0.5100000000020373,69.4580686363558,False
17:46:30.992,46.17,-19.22,0.0,63990.992,49.46,-26.47,-18.0,0.6599999999962165,89.26483358145356,False
17:46:31.079,8.97,-13.59,26.0,63991.079,-37.2,5.629999999999999,26.0,0.08699999999953434,525.6703877802447,False
17:46:31.382,1.97,-75.33,-4.0,63991.382,-7.000000000000001,-61.739999999999995,-30.0,0.3029999999998836,227.71864921899217,False
17:46:31.948,28.76,-35.73,3.0,63991.948,26.790000000000003,39.6,7.0,0.565999999998894,85.37178709631124,False
17:46:31.949,11.66,14.07,64.0,63991.949,-17.1,49.8,61.0,0.0010000000038417056,80581.94555921415,False
17:46:32.158,6.53,-101.53,2.0,63992.158,-5.13,-115.6,-62.0,0.20900000000256114,628.1200941478266,False
17:46:32.579,26.34,-39.02,5.0,63992.579,19.81,62.51,3.0,0.4209999999948195,155.92039849399998,False
17:46:32.673,23.99,5.13,78.0,63992.673,-2.3500000000000014,44.150000000000006,73.0,0.0940000000045984,907.924034504979,False
17:46:33.363,30.4,-36.15,4.0,63993.363,6.41,-41.28,-74.0,0.6899999999950523,123.15537920541128,False
17:46:33.509,42.2,5.27,75.0,63993.509,11.800000000000004,41.42,71.0,0.14600000000064028,568.7759817956515,False
17:46:34.259,31.81,-46.88,4.0,63994.259,-10.390000000000004,-52.150000000000006,-71.0,0.75,118.27331510812854,False
17:46:34.260,15.09,-2.5,66.0,63994.26,-16.72,44.38,62.0,0.0010000000038417056,78058.58539061464,False
17:46:34.949,37.86,-44.15,3.0,63994.949,22.77,-41.65,-63.0,0.6889999999984866,114.48605770361007,False
17:46:35.429,-81.4,0.82,-3.0,63995.429,-119.26,44.97,-6.0,0.47999999999592546,265.8291576562426,False
17:46:35.613,6.5,10.99,2.4,63995.613,87.9,10.17,5.4,0.18400000000110595,481.79888542251115,False
17:46:35.700,41.49,-10.37,2.0,63995.7,34.99,-21.36,-0.3999999999999999,0.08699999999953434,471.2236736029694,False
17:46:37.109,19.37,-1.82,10.0,63997.109,-22.12,8.549999999999999,8.0,1.4089999999996508,17.762897378843288,False
17:46:37.202,33.15,-25.34,1.0,63997.202,13.779999999999998,-23.52,-9.0,0.0930000000007567,308.67497548178335,False
17:46:37.889,34.11,-21.02,3.0,63997.889,0.9600000000000009,4.32,2.0,0.6870000000053551,7.068902572649965,False
17:46:38.043,37.88,-19.96,8.0,63998.043,3.770000000000003,1.0599999999999987,5.0,0.15399999999499414,41.240923810016554,False
17:46:38.760,32.41,-45.64,8.0,63998.76,-5.470000000000006,-25.68,0.0,0.717000000004191,36.61939995119115,False
17:46:38.789,-128.0,7.13,1.0,63998.789,-160.41,52.77,-7.0,0.02899999999499414,5827.998456124677,False
17:46:39.210,-1.51,-17.53,7.0,63999.21,126.49,-24.66,6.0,0.4210000000020955,306.4394076399921,False
17:46:39.484,-27.08,8.82,51.0,63999.484,-25.569999999999997,26.35,44.0,0.2739999999976135,209.1513911953046,False
17:46:39.509,33.16,-24.72,7.0,63999.509,60.239999999999995,-33.54,-44.0,0.02500000000145519,3271.645261753469,False
17:46:40.086,-126.08,3.13,3.0,64000.086,-159.24,27.849999999999998,-4.0,0.577000000004773,280.2539421216565,False
17:46:40.174,33.49,-41.75,6.0,64000.174,159.57,-44.88,3.0,0.08799999999610009,1883.9592872120252,False
17:46:40.897,-118.68,2.68,5.0,64000.897,-152.17000000000002,44.43,-1.0,0.7229999999981374,219.26246267961747,False
17:46:40.919,30.15,-28.22,7.0,64000.919,148.83,-30.9,2.0,0.02200000000448199,6909.865221351271,False
17:46:41.075,28.49,11.01,95.0,64001.075,-1.6600000000000001,39.23,88.0,0.1559999999954016,617.7089019091759,False
17:46:41.611,23.36,-8.42,47.0,64001.611,-5.129999999999999,-19.43,-48.0,0.5360000000000582,97.08381953889086,False
17:46:41.699,36.15,-21.3,7.0,64001.699,12.79,-12.88,-40.0,0.08800000000337604,499.15715374396376,False
17:46:42.424,26.85,-29.27,5.0,64002.424,-9.299999999999997,-7.969999999999999,-2.0,0.7249999999985448,17.117396981738402,False
17:46:42.510,19.76,10.05,73.0,64002.51,-7.09,39.32,68.0,0.08600000000296859,917.0822311891782,False
17:46:43.204,30.73,-8.82,64.0,64003.204,10.969999999999999,-18.87,-9.0,0.6939999999958673,34.01973654238871,False
17:46:43.206,39.67,-17.01,9.0,64003.206,8.940000000000001,-8.190000000000001,-55.0,0.0020000000004074536,28160.25434325637,False
17:46:43.891,37.58,-17.98,8.0,64003.891,-2.0900000000000034,-0.9699999999999989,-1.0,0.6850000000049477,3.6668208505897772,False
17:46:43.980,24.99,-1.75,11.0,64003.98,-12.59,16.23,3.0,0.08899999999994179,233.243109626911,False
17:46:44.585,5.85,3.62,75.0,64004.585,-19.14,5.37,64.0,0.6049999999959255,110.77064556931539,False
17:46:44.700,24.47,-16.07,9.0,64004.7,18.619999999999997,-19.69,-66.0,0.11499999999796273,620.4090668434634,False
17:46:45.059,-85.94,8.19,1.0,64005.059,-110.41,24.259999999999998,-8.0,0.35900000000401633,315.672948943142,False
17:46:45.179,12.46,-17.27,1.0,64005.179,98.4,-25.46,0.0,0.11999999999534339,847.0033615636501,False
17:46:45.359,40.25,-10.62,5.0,64005.359,27.79,6.65,4.0,0.18000000000029104,160.29550258215312,False
17:46:45.516,24.27,-24.11,6.0,64005.516,-15.98,-13.49,1.0,0.15700000000651926,133.35403066791415,False
17:46:46.145,29.22,-42.25,6.0,64006.145,4.949999999999999,-18.14,0.0,0.628999999993539,29.893874499537578,False
17:46:46.265,-52.96,9.24,84.0,64006.265,-82.18,51.49,78.0,0.12000000000261934,1037.115809030955,False
17:46:46.949,29.02,-41.23,5.0,64006.949,81.98,-50.47,-79.0,0.684000000001106,182.06856714545262,False
17:46:47.046,-85.8,6.9,78.0,64007.046,-114.82,48.129999999999995,73.0,0.0970000000015716,1487.866014037565,False
17:46:47.641,26.98,-20.16,2.0,64007.641,112.78,-27.060000000000002,-76.0,0.5950000000011642,233.0479341132396,False
17:46:47.760,23.96,-19.43,3.0,64007.76,-3.0199999999999996,0.7300000000000004,1.0,0.11899999999877764,27.428061661387463,False
17:46:48.426,30.34,-32.86,2.0,64008.426,6.379999999999999,-13.43,-1.0,0.6659999999974389,22.375360060181166,False
17:46:48.515,-115.25,4.36,6.0,64008.515,-145.59,37.22,4.0,0.08899999999994179,1689.0513297857092,False
17:46:49.207,30.49,-45.31,5.0,64009.207,145.74,-49.67,-1.0,0.6920000000027358,222.50701837149833,False
17:46:49.927,17.58,2.77,46.0,64009.927,-12.91,48.080000000000005,41.0,0.7200000000011642,89.5736913414291,False
17:46:50.039,28.79,-16.61,5.0,64010.039,11.21,-19.38,-41.0,0.11199999999371357,417.0941313049358,False
17:46:50.675,29.04,-8.53,32.0,64010.675,0.25,8.08,27.0,0.636000000005879,44.31477346827897,False
17:46:50.789,44.37,-16.69,4.0,64010.789,15.329999999999998,-8.160000000000002,-28.0,0.11399999999412103,289.02071152810225,False
17:46:51.149,-59.08,6.93,-1.0,64011.149,-103.44999999999999,23.62,-5.0,0.3600000000005821,295.0832548867069,False
17:46:51.483,42.82,-19.62,3.0,64011.483,101.9,-26.55,4.0,0.33400000000256114,315.5028464938152,False
17:46:51.570,30.01,-6.96,54.0,64011.57,-12.809999999999999,12.66,51.0,0.08699999999953434,621.6862688597831,False
17:46:51.659,-146.82,0.18,6.0,64011.659,-176.82999999999998,7.14,-48.0,0.08899999999994179,2060.3147622599836,False
17:46:52.292,34.15,-39.99,5.0,64012.292,180.97,-40.17,-1.0,0.6330000000016298,292.8552469608692,False
17:46:52.386,31.84,-11.88,9.0,64012.386,-2.3099999999999987,28.11,4.0,0.09399999999732245,303.05301056434513,False
17:46:53.075,30.91,-36.76,7.0,64013.075,-0.9299999999999997,-24.879999999999995,-2.0,0.6889999999984866,36.25192444599191,False
17:46:53.164,-40.46,5.06,87.0,64013.164,-71.37,41.82,80.0,0.08899999999994179,1292.993818048092,False
17:46:53.825,35.59,-37.94,1.0,64013.825,76.05000000000001,-43.0,-86.0,0.6610000000000582,185.46323864535208,False
17:46:53.999,0.03,-5.47,-22.0,64013.999,-35.56,32.47,-23.0,0.17400000000634464,306.6949324692793,False
17:46:54.240,-34.4,8.52,10.0,64014.24,-34.43,13.989999999999998,32.0,0.24099999999452848,203.49492813561378,False
17:46:54.750,14.2,-3.11,-2.0,64014.75,48.599999999999994,-11.629999999999999,-12.0,0.5100000000020373,100.7701390043278,False
17:46:55.115,-1.96,0.97,74.0,64015.115,-16.16,4.08,76.0,0.36499999999796273,213.16744660769643,False
17:46:55.499,42.95,2.48,-20.0,64015.499,44.910000000000004,1.51,-94.0,0.3840000000054715,271.32352723706794,False
17:46:56.099,-79.82,4.74,11.0,64016.099,-122.77,2.2600000000000002,31.0,0.5999999999985448,211.0725290041698,False
17:46:56.673,1.44,-14.67,64.0,64016.673,81.25999999999999,-19.41,53.0,0.5740000000005239,172.36768367588817,False
17:46:56.910,28.58,0.99,100.0,64016.91,27.139999999999997,15.66,36.0,0.23700000000098953,201.37747789585512,False
17:46:56.974,22.64,-1.79,12.0,64016.974,-5.939999999999998,-2.7800000000000002,-88.0,0.0639999999984866,1378.8132493751325,False
17:46:58.050,-77.0,5.49,64.0,64018.05,-99.64,7.28,52.0,1.0760000000009313,104.67311667029198,False
17:46:58.409,-112.84,0.09,1.0,64018.409,-35.84,-5.4,-63.0,0.35899999999674037,202.45668033682753,False
17:46:58.473,37.84,-39.57,1.0,64018.473,150.68,-39.660000000000004,0.0,0.0639999999984866,2434.5624326686643,False
17:46:59.255,30.96,-43.74,1.0,64019.255,-6.880000000000003,-4.170000000000002,0.0,0.7819999999992433,10.287825116857551,False
17:47:00.036,-60.66,8.86,75.0,64020.036,-91.62,52.6,74.0,0.7810000000026776,165.15292537696632,False
17:47:00.038,23.8,-23.03,9.0,64020.038,84.46,-31.89,-66.0,0.0020000000004074536,55916.150830739854,False
17:47:01.618,17.82,-0.81,-1.0,64021.618,-5.98,22.220000000000002,-10.0,1.5800000000017462,15.879503406101042,False
17:47:02.042,-50.5,3.11,71.0,64022.042,-68.32,3.92,72.0,0.4239999999990687,234.27527752756683,False
17:47:02.042,65.61,-3.8,58.0,64022.042,116.11,-6.91,-13.0,0.0,inf,True
17:47:02.257,-24.59,9.02,-2.0,64022.257,-90.2,12.82,-60.0,0.21499999999650754,507.3903241662967,False
17:47:03.391,19.02,-51.65,8.0,64023.391,43.61,-60.67,10.0,1.1340000000054715,66.47580177703486,False
17:47:03.877,-13.63,7.45,-1.0,64023.877,-32.65,59.1,-9.0,0.4859999999971478,140.157028725668,False
17:47:04.171,-165.5,3.44,3.0,64024.171,-151.87,-4.01,4.0,0.294000000001688,516.9237424298668,False
17:47:05.075,34.23,-35.24,8.0,64025.075,199.73,-38.68,5.0,0.9039999999949941,225.1132430661258,False
17:47:05.255,35.58,2.57,-17.0,64025.255,1.3500000000000014,37.81,-25.0,0.18000000000029104,251.93195485356352,False
17:47:05.376,0.97,-1.15,-15.0,64025.376,-34.61,-3.7199999999999998,2.0,0.12099999999918509,288.1549876491252,False
17:47:06.420,-6.93,-17.68,6.0,64026.42,-7.8999999999999995,-16.53,21.0,1.044000000001688,26.693924405746802,False
17:47:06.750,-108.33,2.22,1.0,64026.75,-101.4,19.9,-5.0,0.33000000000174623,313.50048293375,False
17:47:07.203,-148.54,1.73,4.0,64027.203,-40.209999999999994,-0.4900000000000002,3.0,0.4530000000013388,89.01707360915016,False
17:47:07.503,-78.35,7.73,11.0,64027.503,70.19,6.0,7.0,0.2999999999956344,235.97636652253166,False
17:47:08.309,-5.24,9.12,127.0,64028.309,73.11,1.3899999999999988,116.0,0.8060000000041327,170.12909027281037,False
17:47:08.405,15.86,-2.79,-2.0,64028.405,21.1,-11.91,-129.0,0.0959999999977299,1367.2468479505706,False
17:47:09.091,39.78,-32.28,1.0,64029.091,23.92,-29.490000000000002,3.0,0.6860000000015134,55.52436801730909,False
17:47:09.870,32.56,-47.99,1.0,64029.87,-7.219999999999999,-15.71,0.0,0.7790000000022701,22.194691325642765,False
17:47:10.349,-72.41,6.65,27.0,64030.349,-104.97,54.64,26.0,0.4789999999993597,252.94781013903716,False
17:47:10.654,33.3,-45.71,1.0,64030.654,105.71,-52.36,-26.0,0.30500000000029104,396.05924568785963,False
17:47:11.975,30.11,-27.81,3.0,64031.975,-3.1899999999999977,17.900000000000002,2.0,1.3209999999962747,13.84685453200612,False
17:47:12.124,-117.64,0.3,1.0,64032.124,-147.75,28.11,-2.0,0.14900000000488944,1009.4868809581836,False
17:47:12.810,8.04,-13.59,29.0,64032.81,125.68,-13.89,28.0,0.6859999999942374,188.78757967811288,False
17:47:12.930,48.24,-3.73,11.0,64032.93,40.2,9.86,-18.0,0.12000000000261934,376.13343523932417,False
17:47:13.116,31.83,-8.12,-1.0,64033.116,-16.410000000000004,-4.389999999999999,-12.0,0.1860000000015134,111.81764323729116,False
