time,Roll,Pitch,Yaw
17:40:26.672,-21.6,6.18,8.0
17:40:26.759,46.78,6.2,22.0
17:40:27.148,-78.97,17.96,
17:40:27.269,-6.54,-1.51,-3.0
17:40:27.479,-162.47,-5.75,
17:40:27.570,-141.63,9.21,
17:40:27.658,-136.59,8.9,
17:40:27.782,-117.96,10.45,
17:40:27.870,-13.04,10.49,
17:40:27.989,-189.36,8.56,
17:40:28.078,-98.98,-38.74,
17:40:28.348,-49.52,10.37,
17:40:28.438,-155.39,-2.72,
17:40:28.648,-169.22,-9.66,
17:40:28.769,-147.53,4.85,
17:40:28.858,-145.79,0.09,
17:40:28.948,-105.03,19.94,
17:40:29.068,9.91,11.01,2.6
17:40:29.128,-71.54,17.83,1.0
17:40:29.548,-120.44,7.9,
17:40:29.639,9.78,16.91,-32.0
17:40:29.819,-106.37,11.14,
17:40:29.912,-99.04,6.65,-1.0
17:40:30.031,-114.7,9.54,
17:40:30.122,-143.22,-1.52,
17:40:30.211,-20.08,8.55,-5.0
17:40:30.358,-19.67,4.09,3.0
17:40:30.844,-49.55,1.09,-4.0
17:40:30.930,-132.81,16.98,
17:40:31.108,-150.92,10.89,
17:40:31.232,-136.99,4.18,
17:40:31.288,-139.3,3.97,
17:40:31.408,-142.63,11.65,
17:40:31.501,12.52,7.08,-12.0
17:40:31.619,-201.1,16.36,
17:40:32.013,-37.37,0.93,-4.0
17:40:32.098,33.89,11.0,-4.0
17:40:32.368,-126.08,7.95,
17:40:32.490,-137.06,3.02,
17:40:32.578,-159.32,15.37,
17:40:32.669,7.85,13.6,-9.0
17:40:32.788,-180.12,10.67,
17:40:33.178,-63.38,8.09,-4.0
17:40:33.510,-169.01,-0.49,
17:40:33.598,-146.27,7.79,
17:40:33.663,-145.93,3.56,
17:40:33.784,-150.16,-0.04,
17:40:33.871,3.89,11.53,-10.0
17:40:33.964,22.96,16.25,-5.0
17:40:34.378,-69.21,6.73,-4.0
17:40:34.445,6.15,-7.98,-45.0
17:40:34.654,-133.99,5.59,
17:40:34.742,-110.41,11.31,
17:40:34.861,-139.49,3.95,
17:40:34.952,-157.14,5.18,
17:40:35.038,-3.5,7.32,-6.0
17:40:35.188,56.59,14.46,-0.0
17:40:35.582,-28.41,9.46,-4.0
17:40:35.640,-25.06,-1.27,
17:40:35.849,-165.55,-9.44,
17:40:35.938,-138.94,7.03,
17:40:36.058,-141.57,0.93,
17:40:36.150,-118.59,18.52,
17:40:36.240,-2.79,10.3,-0.0
17:40:36.719,-40.24,2.6,-4.0
17:40:37.116,-138.57,5.99,
17:40:37.228,-133.6,7.11,
17:40:37.350,-52.97,12.01,
17:40:37.413,14.55,6.86,3.8
17:40:37.924,25.36,-10.47,
17:40:38.014,-72.15,0.47,-3.0
17:40:38.135,-116.29,14.64,
17:40:38.223,-80.82,13.15,
17:40:38.279,-120.07,12.3,
17:40:38.404,-139.14,3.69,
17:40:38.489,-35.36,10.72,
17:40:38.614,-30.68,9.64,5.0
17:40:38.999,24.52,15.88,-3.0
17:40:39.126,25.36,-12.91,
17:40:39.299,-108.62,14.14,
17:40:39.425,-124.32,9.31,
17:40:39.508,-127.96,6.21,
17:40:39.600,-159.66,10.69,
17:40:39.719,-16.74,3.67,-1.0
17:40:39.780,-35.8,9.46,1.0
17:40:40.168,-183.8,15.39,
17:40:40.266,28.79,-15.59,
17:40:40.475,-1.61,8.48,-28.0
17:40:40.588,-73.3,13.0,
17:40:40.679,-143.38,8.09,
17:40:40.775,-151.07,7.96,
17:40:40.890,-35.68,13.17,
17:40:40.985,-34.65,4.33,3.0
17:40:41.372,-168.33,-5.21,
17:40:41.462,17.64,-20.81,
17:40:41.551,-167.95,-6.26,
17:40:41.730,-141.92,2.18,
17:40:41.854,-132.9,5.08,
17:40:41.940,-144.43,1.03,
17:40:42.059,6.76,15.58,-10.0
17:40:42.154,-10.3,7.44,5.0
17:40:42.634,-2.91,-4.85,-4.0
17:40:42.754,-30.22,-10.59,
17:40:42.841,-142.5,-1.35,
17:40:43.019,-135.88,1.59,
17:40:43.110,-143.71,-0.45,
17:40:43.229,-48.39,12.95,
17:40:43.326,-16.15,8.02,-3.0
17:40:43.738,-152.72,7.07,
17:40:43.799,-25.72,3.95,-4.0
17:40:43.918,-21.21,7.63,-4.0
17:40:44.218,-145.6,1.33,
17:40:44.311,-143.33,-3.5,
17:40:44.428,-138.86,8.93,
17:40:44.519,14.85,5.28,-14.0
17:40:44.728,-99.33,-61.81,
17:40:45.004,-51.52,5.68,-3.0
17:40:45.092,-22.82,-0.34,
17:40:45.306,-137.22,6.96,
17:40:45.419,-127.64,7.07,
17:40:45.508,-141.94,1.47,
17:40:45.571,-108.83,17.09,
17:40:45.722,-12.12,6.39,7.0
